element,count
等角,4
对角,5
辅助线,6
邻角,6
中垂线,6
增函数,7
运算符,7
锐角,1
升幂,8
乘方,8
弧度,9
奇数,10
母线,10
偶数,10
外切,10
公因式,11
圆形,11
八边形,11
平方差,1
幂函数,12
曲线,13
弦长,13
公分母,15
配方,15
指数,16
勾股,16
五边形,16
钝角,16
棱柱,16
顶角,17
立体,17
视图,17
弧长,17
内错角,18
画图,19
折线,21
奇函数,21
平行线,22
球,22
长方体,22
体积,22
示意图,22
正弦定理,1
余弦,1
正弦,1
余弦定理,22
端点,23
比例,23
底数,24
投影,24
中位数,24
等量,23
根号,24
对顶角,24
同旁内角,24
同位角,25
中心对称,25
边数,25
奇函数,1
偶函数,26
算术,26
符号,26
倒数,25
分母,26
频率,27
中心,27
事件,30
括号,29
梯形,29
主视图,29
分类,31
宽度,31
个位数,33
圆心角,33
方差,33
半轴,34
外接圆,35
角度,35
坐标系,36
正弦,38
公差,38
次数,41
圆锥,41
正比例,40
方案,40
表达式,39
高度,39
公比,43
阴影,45
平均数,44
六边形,52
中线,52
顺时针,50
作图,49
定义域,49
通项,55
同类项,55
区间,54
指数,57
单调,57
变形,65
负数,71
垂线,69
弧,67
横坐标,67
多边形,66
单项式,65
假分数,72
因式,74
根式,79
双曲线,77
菱形,76
小数,75
锐角,81
圆心,86
正数,85
对应点,87
值域,94
正方体,93
外角,95
代数式,100
关系式,100
概率,100
对称点,108
轴对称,108
平行,103
系数,109
长方形,1
直角,1
度数,123
等腰三角形,1
对称轴,124
直径,126
正整数,138
内角,137
平行四边形,147
分数,144
对角线,1
分式,163
射线,159
数轴,159
矩形,1
周长,1
实数,133
平分线,229
原点,210
平分,236
交点,236
直角坐标,234
直角,234
坐标,234
边长,266
图形,266
半径,242
化简,242
象限,241
平面,284
整数,282
距离,280
四边形,274
方程组,1
中点,1
顶点,1
正方形,1
面积,1
方程,1
线段,1
抛物线,1
三角形,1
图像,1
公分母,5
裂项,3
对角,3
项数,37
分式,365
参数,681
垂径,46
夹角,7
等式,86
代数,81
面积,188
平均数,24
项,120
底数,37
根式,346
算术,87
中心对称,15
直线,221
折线,22
统计数据,18
信息,67
邻角,15
方差,12
尺规,15
钝角,2
等量,43
关系,617
数量,4
外角,83
乘法,319
中心,6
共圆,14
等腰三角形,120
半径,67
多边形,101
代入,58
反证法,7
菱形,31
实数,46
射线,15
中位线,29
异号,85
坐标轴,53
乘方,144
圆锥,19
路径,46
点线面,1
边数,47
参数值,10
单项式,169
垂线,19
树状,14
式子,275
倒角,22
幂,204
平方差,92
正弦,17
加减法,18
加法,18
减法,18
非负性,41
方向,15
中点,21
变形,97
轴,34
量角器,10
象限,71
实根,45
方程解,9
四边形,104
同类项,92
反比例,225
对顶角,18
轴对称,70
位似中心,10
总体,27
顶点,109
辅助线,6
分数,1
逆定理,48
频数,33
平行线,115
计数,27
交点,181
分子,9
母线,17
直角,20
范围,269
图象,445
直方图,26
立体,92
三角形,596
定义,59
开立方,10
比例,75
线,70
同旁内角,30
公式化,2
整体,129
统计表,3
系数,192
元素,29
费马点,5
边长,73
样本容量,12
共轭,10
结合律,3
移项,34
股数,2
三角尺,10
乘,11
直角坐标,27
同位角,26
最值,100
平分线,197
方法,123
拐弯,13
规律,212
共线,8
证法,2
图,125
弦,36
顶角,11
投影,42
距离,70
定值,5
部分,30
线段,290
平面,83
切线,52
指数,56
矩形,16
截线,3
定点,4
锐角,19
弧长,20
扇形,11
方程,131
平行,78
负数,2
原点,50
地点,1
弦长,1
概念,206
射影,24
分母,92
现象,23
圆,96
原数,39
科学,22
倒数,30
次数,74
网格,17
正负数,29
个体,12
图案,60
根号,56
模型,63
整数,161
内错角,30
记数法,22
函数,989
逆命题,16
周长,31
弧,31
角,622
标角法,5
勾股定理,130
稳定性,15
公平性,10
动点,33
中线,68
斜率,19
二阶,3
代数式,21
数表,15
补角,14
作图,32
等分线,5
正比例,76
同类,14
方程组,346
平行四边形,86
小数,32
关系式,36
三视图,57
正误,3
圆周角,28
分段,17
角度,122
整理,22
计算长度,24
钟表,14
作圆,8
边角,16
图形,344
括号,54
公因式,133
符号化,7
直径,4
开平方,10
外接圆,12
数轴,39
坡度,2
对称性,29
数字,24
列表,14
序数,20
样本,36
对角线,19
端点,4
圆心角,56
频率,21
数标,17
正方体,28
正数,2
分类,169
方位,1
状态,10
概率,126
对称轴,34
命题,14
分配律,50
方位角,11
正方形,67
特征,12
统计图,18
棱数,2
中位数,12
字母,414
对数,16
